prov,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,133187.89,166419.28,151733.34,150713.57,144579.93,140273.72,145468.95,136415,140812.88,113259,107816.69,104922,101009,98063
天津市,90789.96,91534.42,93008.03,89361.44,84210,82813.16,67146.94,68196,59647.38,61229,56928.16,58834,60361,48671
河北省,253685.36,288794.55,310567.56,309823.96,310920.54,305773.5,278551.26,262543,244988.51,234697,222914.35,213672,208524,206736
山西省,135057.27,139291.06,145252.2,145033.49,138030.43,134298.48,116132.01,118299,105875.05,106911,104594.39,89142,95096,93738
内蒙古自治区,104250.82,104695.97,110861.37,111916.93,106920.47,102424.49,100388.99,92548,73154.74,70421,60405.23,55102,56241,52568
辽宁省,237970.98,228201.74,260044.58,262878.96,234508.18,238768.79,232247.02,218189,217154.68,212021,220996.73,206236,218705,195257
吉林省,121464.23,97073.31,126908.02,122170.66,117702.53,119509.2,116162.36,114431,109714.74,107781,97857.83,89855,98005,86923
黑龙江省,138120.68,138334.75,148594.83,149643.71,153089.62,162589.08,150661.01,118575,110508.16,110996,108972.59,110201,114041,114340
上海市,211950.85,220758.79,224147.22,221159.73,222962.91,219244.06,214155.09,248250,230517.53,223751,226614.08,222565,199710,193325
江苏省,575195.76,616624.01,621302.8,601157.86,594359.1,598210.95,592773.76,555500,522329.29,509701,505598.33,508825,519425,466111
浙江省,453935.03,430856.78,433822.46,418261.9,419120.3,420960.52,420133.89,394828,365017.13,350377,338100.92,303515,313196,281326
安徽省,233837.62,240665.86,280626.24,272313.12,266234.19,254328.89,243265.24,184700,179701.21,168670,175327.09,164449,156591,148316
福建省,238279.19,237016.09,256868.17,260579.22,259097.86,256262.77,316177.53,238502,246012.63,236269,226997.87,213401,212392,192968
江西省,189362.32,221091.88,223232.28,208289.04,207137.56,201189.71,194431.55,160661,147080.54,138909,141266.69,130183,123320,120092
山东省,499884.15,507591.29,559907.67,514423.34,494570.19,479100.25,443330.98,436372,386731.08,358911,334254.73,299812,280377,264014
河南省,409107.39,402055.1,433486.68,422832.29,412581.82,403667.62,378784.85,358679,333980.16,309193,296467.29,268888,262564,250652
湖北省,272694.21,274787.28,313784.76,301703.65,294053.96,290200.42,293063.53,270755,265756.75,258874,246582.56,231454,237368,232629
湖南省,300563.22,298756.94,314107.41,309960.48,307227,304214.43,278811.44,268110,260278.41,250331,252072.98,235728,255638,250007
广东省,882020.48,938261.03,911522.63,905082.06,862471.08,838550.53,785586.5,722978,687429.19,677352,690887.04,618921,638403,541717
广西壮族自治区,198143.77,193186.25,220066.33,219304.06,225302.67,245577.8,222438.92,312630,305507.09,345355,319808.27,250584,270857,218776
海南省,44080.82,44097.17,39123.49,39351.07,36156.05,37103.42,35725.15,36689,37517.74,36188,35158.63,34962,35274,33055
重庆市,200676.88,202061.27,149798.54,145822.16,142535.47,132430.2,131449.83,128113,147068.75,145113,134240.39,145263,145221,135518
四川省,362437.56,352826.44,341607.41,331276.53,307647.83,283657.06,279851.96,256095,262708.65,262343,252961.78,234483,261651,241720
贵州省,118016.67,100720.11,112803.12,110912.12,93084.53,91455.12,77927.2,60823,59159.17,55866,55112.42,51460,55668,55687
云南省,185111.86,181089.33,173333.44,157544.15,156583.28,154009.74,147523.1,91992,87590.64,83865,83758.94,76760,75202,78303
西藏自治区,7175.65,6142.75,5883.3,5449.68,5004.68,4683.14,4634.58,3825,3455.23,3420,3335.56,2685,4555,4501
陕西省,175954.54,166565.04,168121.98,145785.38,132169.33,128749.05,121814.67,115673,111218.74,104883,99348.16,82204,83368,75810
甘肃省,64513.86,66324.7,67071.51,65973.23,64969.46,62813.02,59231.69,51241,49270.16,47470,44335.27,42254,43728,45171
青海省,27115.01,27275.14,23662.83,23001.19,21953.03,21994.46,21291.52,22609,22170.93,19997,19948.49,15726,19360,14287
宁夏回族自治区,30734.75,33948.67,32024.56,37277.25,38528.43,38948.08,39432.37,40653,41336.46,37948,37213.38,25276,35817,23773
新疆维吾尔自治区,101291.19,93906.89,99952.06,102748.31,100720.29,93810.49,83328.54,83690,77183.63,74700,68617.3,57440,63419,60040
